Date,AOK
2016-10-24,28.66644859313965
2016-10-25,28.65777587890625
2016-10-26,28.59707260131836
2016-10-27,28.50168800354004
2016-10-28,28.475685119628906
2016-10-31,28.519033432006836
2016-11-01,28.449670791625977
2016-11-02,28.419294357299805
2016-11-03,28.341167449951172
2016-11-04,28.367197036743164
2016-11-07,28.5147647857666
2016-11-08,28.53212547302246
2016-11-09,28.349851608276367
2016-11-10,28.176237106323242
2016-11-11,28.167564392089844
2016-11-14,28.072072982788086
2016-11-15,28.176237106323242
2016-11-16,28.176237106323242
2016-11-17,28.150203704833984
2016-11-18,28.04603385925293
2016-11-21,28.132835388183594
2016-11-22,28.132835388183594
2016-11-23,28.08075523376465
2016-11-25,28.132835388183594
2016-11-28,28.20228385925293
2016-11-29,28.193601608276367
2016-11-30,28.167564392089844
2016-12-01,28.01999282836914
2016-12-02,28.09740447998047
2016-12-05,28.140867233276367
2016-12-06,28.18434715270996
2016-12-07,28.358280181884766
2016-12-08,28.358280181884766
2016-12-09,28.340885162353516
2016-12-12,28.27131462097168
2016-12-13,28.41044807434082
2016-12-14,28.227834701538086
2016-12-15,28.262611389160156
2016-12-16,28.193052291870117
2016-12-19,28.28000831604004
2016-12-20,28.30609703063965
2016-12-21,28.262611389160156
2016-12-22,28.29740333557129
2016-12-23,28.33218765258789
2016-12-27,28.30609703063965
2016-12-28,28.30348014831543
2016-12-29,28.34711456298828
2016-12-30,28.39075469970703
2017-01-03,28.416950225830078
2017-01-04,28.5303955078125
2017-01-05,28.643856048583984
2017-01-06,28.5653076171875
2017-01-09,28.478038787841797
2017-01-10,28.574045181274414
2017-01-11,28.59148406982422
2017-01-12,28.60894775390625
2017-01-13,28.5827579498291
2017-01-17,28.6176700592041
2017-01-18,28.53912353515625
2017-01-19,28.486764907836914
2017-01-20,28.486764907836914
2017-01-23,28.5827579498291
2017-01-24,28.5827579498291
2017-01-25,28.62639617919922
2017-01-26,28.62639617919922
2017-01-27,28.635135650634766
2017-01-30,28.53912353515625
2017-01-31,28.5653076171875
2017-02-01,28.652585983276367
2017-02-02,28.573040008544922
2017-02-03,28.642961502075195
2017-02-06,28.69541358947754
2017-02-07,28.677936553955078
2017-02-08,28.809036254882812
2017-02-09,28.809036254882812
2017-02-10,28.84400749206543
2017-02-13,28.809036254882812
2017-02-14,28.79155731201172
2017-02-15,28.81778335571289
2017-02-16,28.870229721069336
2017-02-17,28.92266273498535
2017-02-21,28.913930892944336
2017-02-22,28.97511863708496
2017-02-23,29.027551651000977
2017-02-24,29.03630256652832
2017-02-27,29.001338958740234
2017-02-28,29.001338958740234
2017-03-01,29.045042037963867
2017-03-02,28.9461612701416
2017-03-03,28.937406539916992
2017-03-06,28.95490264892578
2017-03-07,28.88491439819336
2017-03-08,28.788654327392578
2017-03-09,28.76239776611328
2017-03-10,28.806142807006836
2017-03-13,28.806142807006836
2017-03-14,28.79739761352539
2017-03-15,28.963665008544922
2017-03-16,28.972421646118164
2017-03-17,29.042404174804688
2017-03-20,29.05990982055664
2017-03-21,28.95490264892578
2017-03-22,29.051162719726562
2017-03-23,29.016151428222656
2017-03-24,29.07741928100586
2017-03-27,29.103660583496094
2017-03-28,29.12991714477539
2017-03-29,29.191177368164062
2017-03-30,29.12116241455078
2017-03-31,29.16492462158203
2017-04-03,29.18242645263672
2017-04-04,29.15260887145996
2017-04-05,29.178903579711914
2017-04-06,29.20521354675293
2017-04-07,29.161380767822266
2017-04-10,29.187679290771484
2017-04-11,29.257823944091797
2017-04-12,29.275354385375977
2017-04-13,29.26658821105957
2017-04-17,29.284116744995117
2017-04-18,29.310426712036133
2017-04-19,29.26658821105957
2017-04-20,29.310426712036133
2017-04-21,29.30165672302246
2017-04-24,29.415645599365234
2017-04-25,29.433177947998047
2017-04-26,29.4594783782959
2017-04-27,29.485782623291016
2017-04-28,29.485782623291016
2017-05-01,29.485782623291016
2017-05-02,29.51825714111328
2017-05-03,29.483144760131836
2017-05-04,29.491920471191406
2017-05-05,29.570945739746094
2017-05-08,29.491920471191406
2017-05-09,29.509479522705078
2017-05-10,29.509479522705078
2017-05-11,29.483144760131836
2017-05-12,29.588512420654297
2017-05-15,29.63240623474121
2017-05-16,29.667526245117188
2017-05-17,29.5972900390625
2017-05-18,29.5972900390625
2017-05-19,29.720203399658203
2017-05-22,29.74654769897461
2017-05-23,29.65874481201172
2017-05-24,29.71143341064453
2017-05-25,29.790443420410156
2017-05-26,29.790443420410156
2017-05-30,29.81679344177246
2017-05-31,29.81679344177246
2017-06-01,29.895795822143555
2017-06-02,30.004806518554688
2017-06-05,29.960857391357422
2017-06-06,29.987239837646484
2017-06-07,29.978445053100586
2017-06-08,29.94329071044922
2017-06-09,29.925701141357422
2017-06-12,29.881738662719727
2017-06-13,29.960857391357422
2017-06-14,30.022390365600586
2017-06-15,29.908111572265625
2017-06-16,29.978445053100586
2017-06-19,29.952062606811523
2017-06-20,29.987239837646484
2017-06-21,29.925701141357422
2017-06-22,29.987239837646484
2017-06-23,30.013620376586914
2017-06-26,30.03997802734375
2017-06-27,29.87293815612793
2017-06-28,30.013620376586914
2017-06-29,29.84657859802246
2017-06-30,29.87293815612793
2017-07-03,29.84657859802246
2017-07-05,29.87293815612793
2017-07-06,29.69727325439453
2017-07-07,29.72374725341797
2017-07-10,29.812042236328125
2017-07-11,29.82086181640625
2017-07-12,29.970937728881836
2017-07-13,29.979772567749023
2017-07-14,30.059213638305664
2017-07-17,30.059213638305664
2017-07-18,30.094532012939453
2017-07-19,30.129831314086914
2017-07-20,30.209287643432617
